CRED T,CRED T-1,CRED T-2,NCC T,NCC T-1,NCC T-2,INCOME,N_EDUC,AGE,SX,CIV_ST,T_WEB T,T_WEB T-1,T_WEB T-2,MAR_T,MAR_T-1,MAR_T-2,MAR_T-3,MAR_T-4,MAR_T-5,MAR_T-6,TARGET
635.76,126.48,94.51,1,1,1,707,3,27,1,1,0,0,1,0.52,4.98,-0.44,0.03,-55.74,0,0,nonchurner
613.33,115.94,103.97,1,1,1,900,4,31,1,2,9,6,5,-10.59,-8.02,0.01,2.65,15.07,14.07,14.65,nonchurner
596.98,108.2,104.23,1,1,1,750,3,30,1,2,0,2,2,25.72,44.81,44.09,44.55,40.28,16.76,36.66,nonchurner
601.22,100.79,107.36,1,1,1,1250,4,31,1,2,6,4,3,18.73,23.01,-91.46,25.42,-149.1,-36.58,0,nonchurner
619.19,109.56,115.25,1,1,1,500,4,27,0,1,11,12,30,4.17,5.3,4.43,0.13,6.44,1.51,-1.94,nonchurner
592.95,93.96,94.03,1,1,1,510,3,34,0,1,1,0,0,5.48,1.1,7.11,15.87,5.87,6.8,6.51,nonchurner
620.21,110.01,118.13,1,1,1,1432,4,33,1,2,0,5,0,29.31,30.6,25.36,26.78,37.18,-87.54,0,nonchurner
630.41,118.86,137.59,1,1,1,539,3,32,0,1,2,7,12,8.75,-21.43,39.79,-3.59,-3.17,4.21,5.52,nonchurner
610.76,120.38,118.11,1,1,1,500,1,34,0,1,59,59,35,0.03,3.81,1.81,6.58,2.48,5.98,2.22,nonchurner
621.96,160.83,119.71,1,1,1,3000,4,30,0,1,33,37,20,23.51,10.06,27.95,22.17,17.05,22.66,20.13,nonchurner
598.25,96.46,102.14,1,1,1,1274,4,32,1,1,37,34,51,34.01,3.88,36.76,17.05,20.05,24.04,24.63,nonchurner
609.76,112.68,102.79,1,1,1,710,4,37,1,2,0,3,2,8.52,-4.29,3.28,2.89,8.39,6.45,6.73,nonchurner
615.18,106.3,180.44,1,1,1,1162,4,30,1,2,48,40,14,-6.5,-9.65,-1.36,0.99,18.74,13.61,19.61,nonchurner
609.99,106.18,106.07,1,1,1,522,3,29,1,1,0,0,0,28.36,6.51,12.78,9.45,11.21,7.59,2.05,nonchurner
649.91,148.45,140,0,0,0,411,3,28,0,1,0,0,0,-0.2,5.73,-1.64,-1.49,-3.42,-0.76,-2.14,nonchurner
592.76,93.96,93.96,0,0,0,907,4,30,1,1,0,0,0,0,0,0,0,0,0,0,nonchurner
592.76,93.96,94.17,1,1,1,1564,4,41,1,2,0,0,0,0.12,4.68,-1.29,-1.19,-1.24,-0.77,-0.73,nonchurner
652.61,113.8,131.96,1,1,1,1078,4,29,1,1,0,1,2,5.97,2.5,-3.99,14.11,1.15,-4.48,2.05,nonchurner
592.1,98.17,98.41,1,1,1,535,3,25,1,2,15,0,3,24.39,-1.05,22.18,19.25,10.95,18.89,7.91,nonchurner
592.74,94.16,94.92,1,1,1,430,4,44,0,4,0,10,7,12.78,17.13,11.8,9.49,10.66,10.1,10.96,nonchurner
606.91,103.82,97.42,0,0,0,390,4,26,0,2,0,0,0,25.22,5.53,3.79,3.34,7.31,-5.62,6.36,nonchurner
635.98,93.96,93.96,4,4,4,820,3,29,1,2,4,0,0,-303.81,-94.07,0,0,0,0,0,nonchurner
592.76,93.96,93.96,1,1,1,587,4,29,0,1,0,0,0,23.08,5.8,15.18,13.13,18.54,12.74,6.22,nonchurner
596.3,93.96,93.96,1,1,1,560,4,30,1,2,0,7,7,7.72,-2.56,6.73,3.58,11.81,2.93,2.82,nonchurner
655.06,93.96,93.96,1,1,1,721,3,35,0,2,0,0,0,-344.13,1.28,-0.77,-0.77,1.03,0.69,1.28,nonchurner
607.49,131.59,131.69,0,0,0,540,3,27,1,1,0,0,0,13.84,19.23,14.43,14.3,12.93,22.47,17.18,nonchurner
1876.61,645.45,96.3,0,1,1,1210,4,34,1,1,3,0,0,64.02,28.42,-0.43,-0.48,11.61,-1.11,-1.2,nonchurner
640,129,139.65,0,0,0,896,4,39,1,2,2,2,5,10.06,-1.8,9.47,7.79,7.32,7.97,6.36,nonchurner
606.75,101.07,120.29,1,1,1,568,4,36,1,2,0,0,3,7.5,-3.41,6.02,8.74,-0.04,11.36,3.99,nonchurner
595.87,94.26,223.28,0,0,0,2400,4,38,1,2,0,3,0,1.49,1.58,-25.68,0.68,0.66,0.58,0.51,nonchurner
596.33,98.71,100.79,1,1,1,351,4,28,1,1,14,45,25,17.98,2.93,18.24,15.27,13.43,-1.5,3.25,nonchurner
596.05,97.28,102.18,1,1,1,912,3,34,1,2,4,6,6,0.3,2.38,0.24,-28.61,-6.47,-6.18,-5.06,nonchurner
596.26,99.43,99.21,1,1,1,626,3,39,1,2,0,0,7,-14.15,-19.75,-17.92,-14.07,-16.71,-14.2,0.86,nonchurner
675.25,196.25,114.65,1,1,1,1350,4,47,0,2,0,1,1,5.39,32.39,25.46,21.28,-12.38,15.34,29.5,nonchurner
608.54,119.78,108.97,1,1,1,980,2,41,1,4,126,122,100,38.97,37.85,40.17,35.15,41.31,35.35,44.93,nonchurner
619.15,113.09,118.54,1,1,1,1880,4,42,0,2,74,102,67,35.67,-30.36,12.7,14.78,24.38,136.3,131.4,nonchurner
732.81,139.47,153.5,1,1,1,1193,4,31,0,1,63,66,25,31.31,71.62,55.99,-12.93,2.3,12.16,-1.24,nonchurner
592.27,93.63,93.72,1,1,1,406,3,32,0,2,2,0,0,36.95,3.97,26.04,22.37,22.75,22.51,30.28,nonchurner
592.76,93.96,93.96,3,3,3,3600,4,40,1,2,0,0,0,-3.81,0.68,-5.14,-5.15,-5.15,-5.61,-4.51,nonchurner
594.03,95.92,94.5,0,0,0,1468,4,33,1,2,0,0,5,4.34,5.63,5.98,3.79,14.58,11.56,14.18,nonchurner
615.75,99.77,99.27,1,1,1,551,3,35,1,2,3,0,5,-2.44,7.46,18.25,14.04,25.68,24.38,21.02,nonchurner
593.84,95.33,100.03,1,1,1,690,4,42,0,2,9,6,7,33.17,42.79,45.61,37.18,36.48,-4.33,18.42,nonchurner
668.34,176.83,140.64,1,1,1,1698,4,39,1,2,3,3,5,-12.04,-15.79,23.67,11.28,9.04,7.49,7.56,nonchurner
592.76,93.96,93.96,1,0,0,488,3,37,1,2,0,0,0,-53.93,-0.76,-0.16,-0.48,-0.51,-0.54,-0.27,nonchurner
594.89,94.19,95.22,0,0,0,423,3,49,1,2,28,16,22,-7.63,1.71,-4.2,-4.82,-6.95,-3.71,-6.83,nonchurner
898.71,94.03,95.64,0,0,0,630,4,40,1,2,5,11,20,21.58,2.68,4.2,-0.65,5.37,3.57,0.06,nonchurner
595.29,104.71,144.38,1,1,1,2735,4,44,1,2,3,15,0,5.64,-2142.11,71.73,111.53,29.93,66.05,63.33,nonchurner
799.38,267.09,230.03,1,1,1,718,3,37,0,2,1,0,0,26.65,33.99,13.54,22.93,8.57,10.7,133.97,nonchurner
612.93,135.01,105.23,1,1,1,404,2,48,1,2,18,2,6,20.49,0.51,10.4,21.31,13.93,2.59,13.46,nonchurner
596.24,99.57,101.2,0,0,0,402,3,25,1,2,0,0,2,0.17,2.69,-5.68,-7.03,-9.29,-1.44,-4.82,nonchurner
1524.11,452.03,185.94,1,1,1,650,4,31,1,1,0,5,5,41,18.45,-0.85,0.34,-0.19,-2.15,-1.86,nonchurner
637.57,108.19,107.12,1,1,1,1395,4,32,1,2,15,33,18,45.69,-615.62,103.27,35.58,-51.7,17.12,46.68,nonchurner
595.13,93.96,93.96,1,1,1,1500,4,36,1,2,4,0,0,34.23,-84.35,0,0,0,0,0,nonchurner
637.16,115.56,115.24,2,2,2,1000,4,36,1,1,5,4,9,1,-0.85,-5.55,-3.91,0.01,11.86,12.33,nonchurner
597.6,108.05,105.49,1,1,1,500,4,28,0,2,3,15,6,12.54,12.91,7.28,15.27,12.06,13.72,15.21,nonchurner
949.28,325.94,407.36,1,1,1,1907,4,32,1,2,0,0,0,5.14,7.35,6.55,2.93,2.18,-1.72,1.84,nonchurner
706,184.27,168.57,1,1,1,820,3,42,1,2,0,0,0,15.77,18.01,19.79,10.34,0.88,11.48,1.77,nonchurner
595.12,96.96,97.52,0,0,0,780,4,37,1,2,0,0,0,3.91,-2.65,4.24,3.58,3.74,3.75,3.55,nonchurner
733.91,177.63,168.64,1,1,1,1860,4,44,1,2,0,0,0,9.4,20.66,13.99,21.33,12.93,25.18,20.65,nonchurner
595.31,93.96,94.57,1,1,1,542,3,35,1,2,0,0,2,-4.29,4.01,3.27,0.44,1.28,2.39,3.29,nonchurner
797.69,395.54,144.76,0,0,0,692,3,33,1,2,1,3,1,7.97,16.46,-5.91,1.17,0.25,7.94,-1.51,nonchurner
594.96,94.5,93.96,1,1,1,3000,4,61,1,2,0,0,0,111.56,31.76,58.61,134.74,-30.07,50.31,42.33,nonchurner
642.61,125.32,118.26,1,1,1,723,3,35,1,2,3,15,5,11.82,5.38,6.92,8.72,17.45,7.98,7.02,nonchurner
592.83,95.54,97.5,1,1,1,724,3,46,0,2,0,0,2,42.01,28,28.76,26.9,30.17,-82.73,0,nonchurner
601.76,111.23,104.15,2,2,2,421,3,37,1,2,4,2,0,0.06,4.25,-0.03,1.04,2.02,3.88,7.98,nonchurner
662.94,145.74,143.44,1,1,1,280,3,32,0,1,2,2,1,6.95,7.04,0.06,1.44,1.86,9.83,1.15,nonchurner
627.43,121.32,106.13,1,1,1,450,4,27,0,1,0,0,0,-0.22,5.62,0.45,0.19,9.53,-0.38,-2.22,nonchurner
599.13,97.74,99.92,1,1,1,428,3,46,0,2,21,34,36,12.67,1.42,13.73,12.09,20.57,11.72,11.45,nonchurner
614.33,104.41,94.18,1,1,1,533,4,29,0,1,2,26,0,7.8,1.56,-51.8,0,0,0,0,nonchurner
696.52,249.08,240.1,1,1,1,2500,4,47,1,1,2,11,18,34.78,57.18,42.43,29.44,38.44,-23.02,-1.99,nonchurner
592.89,94.45,95.75,1,1,1,450,3,26,1,1,5,17,8,13.66,2.31,1.9,2.65,2.82,2.55,8.48,nonchurner
594.98,97.82,96.66,1,1,1,621,3,38,1,2,0,0,0,1.3,6.16,0.64,-0.74,-0.76,1.71,4.68,nonchurner
605.74,101.42,99.69,1,1,1,494,4,28,1,1,0,0,0,0.13,4.95,-1.31,0.85,6.37,21.77,5.59,nonchurner
615.06,127.51,149.56,1,1,1,430,3,26,1,1,3,2,6,1.67,6.8,1.23,0.16,0.38,2.68,3.02,nonchurner
605.96,101.42,110.45,2,2,2,801,3,47,0,1,0,3,2,-0.55,4.3,-1.16,0.19,1.07,0.98,-19.24,nonchurner
596.68,93.96,93.96,0,0,0,397,4,25,0,1,0,0,0,-53.5,0,0,0,0,0,0,nonchurner
681.72,139.73,157.59,2,2,2,805,4,62,1,2,4,3,0,9.24,3.99,-4.8,-1.74,-4.02,-3.63,-5.1,nonchurner
593.44,95.79,95.61,0,0,0,1799,4,51,1,2,0,0,5,24.7,27.48,24.97,24.45,25.55,28.64,39.21,nonchurner
592.76,93.96,93.96,1,1,1,745,4,31,0,1,0,0,0,1.24,-49.74,0,0,0,0,0,nonchurner
592.76,93.96,93.96,1,1,1,1872,4,40,1,1,0,1,0,1.52,5.59,0.15,-55.58,0,0,0,nonchurner
592.76,93.96,93.96,1,0,0,784,4,28,1,2,0,0,0,0,0,0,0,0,0,0,nonchurner
664.75,327.97,107.2,1,1,1,1380,4,27,1,1,0,1,4,-4.32,6.72,-8.82,0.31,-15.51,-1.61,-1.93,nonchurner
599.51,102.48,100.14,1,1,1,409,3,22,1,1,0,0,7,11.18,-6.84,6.77,0.03,-1.9,37.74,-27.46,nonchurner
592.76,93.96,93.96,0,0,0,505,4,50,1,2,0,0,0,3.02,-0.56,3.02,2.55,2.54,2.46,2.3,nonchurner
592.09,95,92.13,1,1,1,466,4,34,1,1,0,1,0,12.59,0.83,12.25,10.43,10.63,10.23,0.71,nonchurner
596.57,93.96,93.96,1,1,1,485,3,44,1,2,0,0,0,-0.38,8.74,-0.22,-0.57,-0.41,-0.41,-0.43,nonchurner
599.66,96.13,102.05,1,1,1,680,3,35,1,2,10,22,18,-4.97,-2.76,-4.26,-6.33,-0.48,0.78,2,nonchurner
595.72,94.32,94.1,0,0,0,580,4,30,0,1,117,134,54,20.28,3.35,15.76,13.31,13.22,14.56,20.43,nonchurner
633.44,170.6,131.75,1,1,1,1002,4,58,1,2,1,1,0,3.41,33.74,24.04,11.69,15.29,9.51,5.1,nonchurner
593.7,94.31,93.58,0,0,0,450,3,48,1,2,0,1,2,4.15,-28.64,5.62,1.42,-33.19,2.33,14.96,nonchurner
593.41,94.8,94.03,0,0,0,773,4,39,1,2,0,0,0,1.4,6.12,0.01,0.1,0.07,0.07,0.08,nonchurner
604.29,265.32,94.24,1,1,1,2164,4,42,1,2,3,1,0,38.11,16.13,-56.83,0,0,0,0,nonchurner
596.4,94.38,97.34,1,1,1,740,4,28,1,1,0,5,0,33.04,12.58,22.79,20.54,19.04,16.23,7.4,nonchurner
602.42,103.75,104.79,1,1,1,1344,4,33,1,2,0,0,0,13.05,11.05,12.05,15.39,10.85,13.19,17.98,nonchurner
602.04,99.94,105.9,1,1,0,707,4,30,1,1,7,6,0,11.3,-1.14,17.26,14.66,15.15,14.6,20.83,nonchurner
594.76,97.79,97.08,1,1,1,1022,4,30,1,1,5,13,8,65.76,3.81,78.77,38.67,11.76,41.93,42.66,nonchurner
601.6,98.61,100.95,0,0,0,400,4,50,0,2,0,0,0,-0.7,4.41,-1.55,-2.28,-3.99,-4.16,-2.33,nonchurner
605.62,107.78,102.95,2,2,2,570,4,30,1,2,2,1,0,1.1,0.78,-3.11,-2.95,-6.92,-8.61,-5.92,nonchurner
599.72,97.18,95.22,1,1,1,806,2,52,1,2,12,2,7,-0.46,3.65,-0.79,-1.47,-1.22,-1.73,-2.31,nonchurner
622.34,120.92,115.08,1,1,1,807,3,49,1,2,3,1,5,32.11,30.56,12.93,34.06,15.66,20.29,21.3,nonchurner
610.2,106.69,102.75,1,1,1,1100,4,34,1,2,0,0,0,-4.73,-8.38,-4.33,-1.95,8.66,-5.05,-3.16,nonchurner
682.29,213.15,235.86,1,1,1,750,4,34,1,1,2,0,2,3.13,1.61,-0.53,11.8,11.14,-8.25,2.84,nonchurner
592.76,93.97,94.07,1,1,1,1330,4,37,1,1,0,0,0,-0.84,-0.86,-0.86,-1.18,14.43,-0.27,-0.34,nonchurner
598.86,101.86,101.33,1,1,1,530,4,35,0,2,16,29,36,21.74,11.19,26.13,9.93,15.97,17.23,19.2,nonchurner
615.48,106.57,147.06,1,1,1,532,3,43,1,4,4,2,26,17.34,25.05,19.57,-16.36,20.28,26.22,22.68,nonchurner
616.62,108.83,108.63,1,1,1,690,4,36,0,1,47,34,63,-20.66,4.06,1.21,5.02,7.67,16.25,-27.88,nonchurner
592.76,93.96,93.96,1,0,0,625,4,29,1,2,0,0,0,0,0,0,0,0,0,0,nonchurner
606.61,125.73,128.35,0,0,0,292,4,43,1,2,0,6,3,1.41,5.87,5.76,11.27,14.36,18.39,11.22,nonchurner
592.76,93.96,93.96,1,1,1,1329,3,49,1,2,0,0,0,1.17,-2.34,1.24,0.81,12.91,0.1,0,nonchurner
605.44,105.91,109.17,1,1,1,700,4,34,1,1,9,28,13,34.9,46.04,39.69,36.97,19,36.27,37.8,nonchurner
590.99,93.67,93.9,1,1,1,2342,4,35,1,2,2,1,2,35.6,9.74,51.23,208.34,-151.11,29.7,51.79,nonchurner
592.76,97.56,93.96,1,1,1,940,4,34,1,2,0,0,0,22.92,26.3,23.4,23.05,24.65,37.23,32,nonchurner
637.84,178.55,226.37,1,1,1,374,4,28,1,1,0,4,0,29.42,38.72,16.81,19.35,6.75,6.63,13.08,nonchurner
681.36,93.96,93.96,1,1,1,685,4,31,1,2,1,0,0,-26.99,-54.48,0,0,0,0,0,nonchurner
602.46,109.84,107.01,1,1,1,497,4,33,0,2,4,7,6,8.61,14.4,6.95,1.78,0.54,6.81,6.75,nonchurner
594.01,94.06,95.1,1,1,1,258,4,30,1,2,12,10,6,7.65,-9.86,6.42,0.71,7.61,-13.78,-4.55,nonchurner
602.27,108.42,106.96,1,1,1,847,4,31,1,2,24,35,21,42.52,24.08,56.32,79.36,102.67,63.76,47.71,nonchurner
601.63,109.84,114.51,1,1,1,1951,4,52,0,1,0,10,5,26.3,15.25,15.17,14.82,-4.53,57.34,0.45,nonchurner
594.31,93.96,93.96,1,0,0,135,1,27,0,1,0,0,0,-73.28,0,0,0,0,0,0,nonchurner
638.93,135.14,143.18,0,0,0,826,3,52,1,2,2,0,7,14.02,24.62,15.69,-25.19,5.74,6.37,11.77,nonchurner
736.63,154.66,264.65,0,1,1,1800,4,47,1,2,2,2,3,16.65,14.03,9.21,25.88,14.77,10.02,24.14,nonchurner
606.6,97.56,97.88,1,1,1,416,4,47,0,2,6,4,9,31.97,-5.24,0.99,-3.09,-1.73,4.2,13.09,nonchurner
602.9,99.76,100.95,1,1,1,493,3,31,0,4,12,2,0,29.5,30.1,30.78,20.75,23.08,14.77,17.46,nonchurner
626.66,111.49,112.09,1,0,0,884,4,64,1,3,0,3,0,3.49,5.41,15.88,15.02,13.43,13.34,11.45,nonchurner
604.76,103.95,104.71,1,1,1,824,4,34,1,1,10,23,15,21.01,32.43,38.15,35.89,62.06,-1.75,-3.47,nonchurner
599.72,107.53,96.54,0,0,0,425,4,32,1,1,0,2,10,2.77,1.95,1.96,-1.33,-1.54,4.4,-4.17,nonchurner
608.35,100.11,100.08,1,1,0,635,3,31,1,2,17,16,0,9.39,-24.94,15.41,5.68,10.48,10.41,-3.29,nonchurner
698.36,268.52,175.64,1,1,1,700,3,42,1,2,2,1,2,30.52,20.87,25.67,34.6,37.58,49.4,36.51,nonchurner
596.36,93.96,93.96,1,1,1,1046,4,48,1,2,0,0,0,13.34,-7.8,15.01,11.21,11.37,30.52,24.32,nonchurner
650.41,174,197.5,0,0,0,1000,3,35,1,1,3,0,0,3.41,8.71,3.55,2.69,3.58,4.65,2.4,nonchurner
609.81,124.68,118.93,1,1,1,418,4,26,1,1,77,59,35,-4.85,3.39,0.14,1.55,5.53,0.72,-0.8,nonchurner
611.82,141.86,93.96,1,1,1,1499,4,27,1,1,2,0,0,24.33,29.49,39.66,25.96,34.3,24.34,-0.53,nonchurner
591.94,93.07,92.99,1,1,1,535,4,30,0,1,0,3,0,28.63,7.75,28.73,26.51,26.99,36.05,25.53,nonchurner
592.76,94.71,93.96,0,0,0,713,4,32,1,1,3,0,0,17.24,-16.5,20.24,13.71,10.32,7.72,7.12,nonchurner
599.03,115.03,114.53,0,0,0,466,4,28,1,1,8,17,20,-505.24,-577.63,23.82,60.42,27.62,34.47,144.7,nonchurner
660.41,183.52,157.19,3,3,3,540,3,32,1,1,49,52,36,-2.47,4.33,-4.01,7.83,-21.44,1.48,3.09,nonchurner
617.24,146.25,148.44,0,0,0,530,3,32,1,1,9,7,17,39.88,4.79,28.13,8.04,26.43,24.84,29.42,nonchurner
616.04,111.81,107.63,2,2,2,714,4,35,1,2,2,0,17,47.2,29.59,36.16,37.19,51.47,38.6,28.08,nonchurner
641.85,599.92,296.42,0,0,0,762,3,64,0,2,15,10,6,-1.08,21.26,7.1,14.07,2.45,1.86,-2.47,nonchurner
592.76,93.96,93.96,1,1,1,421,3,35,1,1,0,0,0,0.92,-0.15,0.83,0.6,0.52,0.44,9.44,nonchurner
592.76,93.96,93.96,1,1,1,470,4,40,1,2,0,0,0,6.14,16.25,14.6,4.79,8.98,10.77,12.15,nonchurner
623.07,129.46,155.62,1,1,1,776,4,33,1,1,0,3,20,15.9,17.38,14.73,-18.13,4.07,-0.48,0.75,nonchurner
594.02,95.95,96.46,1,1,1,530,4,29,1,1,0,0,0,8.58,4.54,8.48,5.6,18.59,29.38,18.19,nonchurner
600.96,116.17,115.44,1,1,1,480,3,32,0,1,0,6,10,12.18,15.35,9.79,4.34,9.33,6.58,21.62,nonchurner
599.21,100.6,100.93,0,0,0,915,4,30,1,1,0,0,0,-0.88,-0.88,-0.89,-0.87,-2.15,-2.16,-1.95,nonchurner
620.5,101.2,105.51,1,1,1,691,4,48,0,2,0,0,3,32.19,28.07,23.65,30.76,54.46,16.68,46.22,nonchurner
651.64,183.17,235.79,1,1,1,654,3,46,1,1,1,0,0,3.73,11.29,6.05,24.79,21.82,18.28,17.14,nonchurner
665.16,136.42,149.06,1,1,1,807,4,48,1,2,0,0,7,43.45,18.71,36.52,52.75,36.7,33.43,31.62,nonchurner
611.16,144.97,101.49,1,1,1,621,3,44,0,2,24,32,15,25.11,15.74,26.83,30.52,28.67,25.47,40.73,nonchurner
623.67,117.09,126.26,1,1,1,410,2,55,1,2,0,0,0,-0.23,3.64,-2.62,-0.91,-0.18,-2.32,-2.2,nonchurner
616.26,108.92,107.87,1,1,1,404,3,26,1,2,3,0,10,13.93,28.6,9.66,8.78,10.86,13.89,21.31,nonchurner
592.76,93.96,93.96,1,0,0,695,4,30,1,1,0,0,0,0,0,0,0,0,0,0,nonchurner
594.63,93.96,93.96,1,1,1,475,3,37,0,1,20,0,0,3.31,-52.3,0,0,0,0,0,nonchurner
699.88,213.31,133.95,1,1,1,635,3,34,0,1,6,4,0,0.9,14.32,-6.14,0.05,-0.32,-1.56,-4.2,nonchurner
616.83,105.97,116.97,1,1,1,1300,4,60,1,2,0,3,5,13.65,13.59,18.87,4.9,12.77,17.93,11.69,nonchurner
621.66,118.51,97.95,2,2,2,571,3,46,0,4,0,0,7,22.03,-5.06,5.87,12.15,6.26,11.68,3.03,nonchurner
594.19,92.45,95.94,1,1,1,450,3,24,1,1,35,44,18,14.03,14.86,6.89,21.74,19.59,21.62,23.59,nonchurner
618.13,109.43,107.53,1,1,1,721,3,28,1,1,2,8,4,28.38,-6.99,22.52,13.04,15.18,13.53,5.37,nonchurner
608.38,98.75,100.31,0,0,0,1000,4,36,1,1,2,7,1,-0.88,5.25,-1.99,3.11,0.03,-2.51,-4.74,nonchurner
810.17,186.28,246.4,0,0,0,1200,4,39,1,2,8,13,0,-11.48,-19.47,-12,-15.36,-15.81,-17.26,-16.47,nonchurner
606.41,107.87,123.48,1,1,1,512,4,32,1,2,6,5,16,13.48,-3.16,14.8,18.98,3.49,18.56,11.24,nonchurner
594,98.99,96.49,1,1,1,352,4,28,1,1,3,7,8,11.08,4.53,7.19,7.48,-1.52,9.48,10.02,nonchurner
664.41,219.43,260.18,1,1,1,920,4,36,1,2,1,2,0,4.12,14.36,9.14,11.64,29.57,56.47,26.67,nonchurner
592.76,93.96,93.96,1,1,1,532,4,32,1,2,0,14,0,6.93,3.46,-8.66,-0.86,-2.85,0.43,-5.7,nonchurner
727.18,159.1,159.26,1,1,1,2227,4,53,1,2,0,0,0,40.62,32.55,30.22,34.84,40.21,44.6,81.47,nonchurner
622.16,100.18,115.09,1,1,1,1135,4,31,1,1,13,4,2,2.51,4.22,0.63,-0.37,-56.07,0,0,nonchurner
608.63,122.13,104.85,1,1,1,1032,4,35,0,2,0,3,5,7.24,-5.47,4.47,-1.2,-5.73,49.61,46.94,nonchurner
600.93,106.62,105.74,1,1,1,500,3,30,1,1,4,6,22,5.77,10.05,3.29,12.89,14.31,5.77,9.59,nonchurner
